Code,Name,sec_name,Wind_ind,GICS_ind,HS_ind,Code_jieli
3393.HK,威胜控股,威胜控股,信息技术--技术硬件与设备--电子设备、仪器和元件--电子设备和仪器,信息技术_技术硬件与设备_电子设备、仪器和元件_电子设备和仪器,工业工程(HS),E03393
3395.HK,PERSTA,PERSTA,能源--能源Ⅱ--石油、天然气与供消费用燃料--石油天然气勘探与生产,能源_能源Ⅱ_石油、天然气与消费用燃料_石油与天然气的勘探与生产,能源业(HS),E03395
3396.HK,联想控股,联想控股,金融--多元金融--多元金融服务--多领域控股,金融_综合金融_综合金融服务_多领域控股,综合业(HS),E03396
3398.HK,华鼎控股,华鼎控股,可选消费--耐用消费品与服装--纺织品、服装与奢侈品--服装、服饰与奢侈品,非日常生活消费品_耐用消费品与服装_纺织品、服装与奢侈品_服装、服饰与奢侈品,纺织业(HS),E03398
3399.HK,粤运交通,粤运交通,工业--运输--航空货运与物流Ⅲ--航空货运与物流,工业_运输_航空货运与物流Ⅲ_航空货运与物流,交通运输(HS),E03399
3600.HK,现代牙科,现代牙科,医疗保健--医疗保健设备与服务--医疗保健设备与用品--医疗保健设备,医疗保健_医疗保健设备与服务_医疗保健设备与用品_医疗保健设备,医疗保健(HS),E03600
3606.HK,福耀玻璃,福耀玻璃,可选消费--汽车与汽车零部件--汽车零配件--机动车零配件与设备,非日常生活消费品_汽车与汽车零部件_汽车零配件_机动车零配件与设备,汽车业(HS),E03606
3608.HK,永盛新材料,永盛新材料,可选消费--耐用消费品与服装--纺织品、服装与奢侈品--纺织品,非日常生活消费品_耐用消费品与服装_纺织品、服装与奢侈品_纺织品,纺织业(HS),E03608
3613.HK,同仁堂国药,同仁堂国药,医疗保健--制药、生物科技与生命科学--制药--中药,医疗保健_制药、生物科技与生命科学_制药Ⅲ_制药,医疗保健(HS),E03613
3616.HK,恒达集团控股,恒达集团控股,房地产--房地产Ⅱ--房地产管理和开发--房地产开发,房地产_房地产Ⅱ_房地产管理和开发_房地产开发,地产基建(HS),E03616
3618.HK,重庆农村商业银行,重庆农村商业银行,金融--银行--商业银行--区域性银行,金融_银行_商业银行_区域性银行,银行业(HS),E03618
3623.HK,中国金融发展,中国金融发展,金融--多元金融--多元金融服务--特殊金融服务,金融_综合金融_综合金融服务_特殊金融服务,非银金融(HS),E03623
3626.HK,HSSP INTL,HSSP INTL,工业--商业和专业服务--商业服务与用品--商业印刷,工业_商业和专业服务_商业服务与商业用品_商业印刷,工业工程(HS),E03626
3628.HK,仁恒实业控股,仁恒实业控股,工业--资本货物--机械--工业机械,工业_资本品_机械制造_工业机械,工业工程(HS),E03628
3633.HK,中裕燃气,中裕燃气,公用事业--公用事业Ⅱ--燃气Ⅲ--燃气,公用事业_公用事业Ⅱ_燃气公用事业Ⅲ_燃气公用事业,公用事业(HS),E03633
3636.HK,保利文化,保利文化,可选消费--媒体Ⅱ--媒体Ⅲ--电影与娱乐,通信服务_媒体与娱乐_娱乐_电影与娱乐,支援服务(HS),E03636
3638.HK,华邦金融,华邦金融,信息技术--技术硬件与设备--电脑与外围设备--电脑存储与外围设备,信息技术_技术硬件与设备_电脑与外围设备_电脑硬件、储存设备及电脑周边,资讯科技业(HS),E03638
3639.HK,亿达中国,亿达中国,房地产--房地产Ⅱ--房地产管理和开发--房地产开发,房地产_房地产Ⅱ_房地产管理和开发_房地产开发,地产基建(HS),E03639
3662.HK,奥园健康,奥园健康,工业--商业和专业服务--商业服务与用品--综合支持服务,工业_商业和专业服务_商业服务与商业用品_综合支持服务,地产基建(HS),E03662
3663.HK,协众国际控股,协众国际控股,可选消费--汽车与汽车零部件--汽车零配件--机动车零配件与设备,非日常生活消费品_汽车与汽车零部件_汽车零配件_机动车零配件与设备,汽车业(HS),E03663
3666.HK,国际天食,国际天食,可选消费--消费者服务Ⅱ--酒店、餐馆与休闲Ⅲ--餐馆,非日常生活消费品_消费者服务_酒店、餐馆与休闲_餐馆,休闲服务(HS),E03666
3668.HK,兖煤澳大利亚,兖煤澳大利亚,能源--能源Ⅱ--石油、天然气与供消费用燃料--煤炭与消费用燃料,能源_能源Ⅱ_石油、天然气与消费用燃料_煤与消费用燃料,能源业(HS),E03668
3669.HK,永达汽车,永达汽车,可选消费--零售业--专营零售--汽车零售,非日常生活消费品_零售业_专营零售_汽车零售,汽车业(HS),E03669
3678.HK,弘业期货,弘业期货,金融--多元金融--资本市场--投资银行业与经纪业,金融_综合金融_资本市场_投资银行业与经纪业,非银金融(HS),E03678
3683.HK,荣丰联合控股,荣丰联合控股,工业--运输--海运Ⅲ--海运,工业_运输_海运Ⅲ_海运,交通运输(HS),E03683
3686.HK,祈福生活服务,祈福生活服务,房地产--房地产Ⅱ--房地产管理和开发--多样化房地产活动,房地产_房地产Ⅱ_房地产管理和开发_多样化房地产活动,综合业(HS),E03686
3688.HK,莱蒙国际,莱蒙国际,房地产--房地产Ⅱ--房地产管理和开发--房地产开发,房地产_房地产Ⅱ_房地产管理和开发_房地产开发,地产基建(HS),E03688
3689.HK,康华医疗,康华医疗,医疗保健--医疗保健设备与服务--医疗保健提供商与服务--保健护理设施,医疗保健_医疗保健设备与服务_医疗保健提供商与服务_保健护理机构,医疗保健(HS),E03689
3690.HK,美团点评-W,美团点评-W,可选消费--零售业--互联网与售货目录零售--互联网零售,非日常生活消费品_零售业_互联网与直销零售_互联网与直销零售Ⅳ,资讯科技业(HS),E03690
3698.HK,徽商银行,徽商银行,金融--银行--商业银行--区域性银行,金融_银行_商业银行_区域性银行,银行业(HS),E03698
3699.HK,光大永年,光大永年,房地产--房地产Ⅱ--房地产管理和开发--房地产服务,房地产_房地产Ⅱ_房地产管理和开发_房地产服务,地产基建(HS),E03699
3700.HK,映客,映客,信息技术--软件与服务--软件--家庭娱乐软件,通信服务_媒体与娱乐_娱乐_互动家庭娱乐,媒体娱乐(HS),E03700
3708.HK,日成控股,日成控股,工业--资本货物--建筑与工程Ⅲ--建筑与工程,工业_资本品_建筑与工程Ⅲ_建筑与工程,地产基建(HS),E03708
3709.HK,珂莱蒂尔,珂莱蒂尔,可选消费--零售业--专营零售--服装零售,非日常生活消费品_零售业_专营零售_服装零售,纺织业(HS),E03709
3728.HK,正利控股,正利控股,工业--资本货物--建筑与工程Ⅲ--建筑与工程,工业_资本品_建筑与工程Ⅲ_建筑与工程,地产基建(HS),E03728
3737.HK,中智药业,中智药业,医疗保健--制药、生物科技与生命科学--制药--中药,医疗保健_制药、生物科技与生命科学_制药Ⅲ_制药,医疗保健(HS),E03737
3738.HK,阜博集团,阜博集团,信息技术--软件与服务--互联网软件与服务Ⅲ--互联网软件与服务,通信服务_媒体与娱乐_娱乐_电影与娱乐,资讯科技业(HS),E03738
3768.HK,滇池水务,滇池水务,公用事业--公用事业Ⅱ--水务Ⅲ--水务,公用事业_公用事业Ⅱ_水公用事业Ⅲ_水公用事业,公用事业(HS),E03768
3773.HK,年年卡,年年卡,电信服务--电信服务Ⅱ--多元电信服务--综合电信服务,通信服务_电信业务Ⅱ_综合电信业务Ⅲ_综合电信业务,资讯科技业(HS),E03773
3778.HK,中国织材控股,中国织材控股,可选消费--耐用消费品与服装--纺织品、服装与奢侈品--纺织品,非日常生活消费品_耐用消费品与服装_纺织品、服装与奢侈品_纺织品,纺织业(HS),E03778
3788.HK,中国罕王,中国罕王,材料--材料Ⅱ--金属、非金属与采矿--钢铁,原材料_原材料Ⅱ_金属与采矿_钢铁,原材料业(HS),E03788
3789.HK,御佳控股,御佳控股,工业--资本货物--建筑与工程Ⅲ--建筑与工程,工业_资本品_建筑与工程Ⅲ_建筑与工程,地产基建(HS),E03789
3799.HK,达利食品,达利食品,日常消费--食品、饮料与烟草--食品--食品加工与肉类,日常消费品_食品、饮料与烟草_食品_包装食品与肉类,食品饮料(HS),E03799
3800.HK,保利协鑫能源,保利协鑫能源,信息技术--半导体与半导体生产设备--半导体产品与半导体设备--半导体设备,信息技术_半导体产品与设备_半导体产品与设备Ⅲ_半导体设备,工业工程(HS),E03800
3808.HK,中国重汽,中国重汽,工业--资本货物--机械--建筑机械与重型卡车,工业_资本品_机械制造_建筑机械与重型卡车,工业工程(HS),E03808
3813.HK,宝胜国际,宝胜国际,可选消费--零售业--专营零售--服装零售,非日常生活消费品_零售业_专营零售_服装零售,纺织业(HS),E03813
3816.HK,KFM金德,KFM金德,工业--资本货物--机械--工业机械,工业_资本品_机械制造_工业机械,工业工程(HS),E03816
3818.HK,中国动向,中国动向,可选消费--耐用消费品与服装--纺织品、服装与奢侈品--服装、服饰与奢侈品,非日常生活消费品_耐用消费品与服装_纺织品、服装与奢侈品_服装、服饰与奢侈品,纺织业(HS),E03818
3822.HK,三和建筑集团,三和建筑集团,工业--资本货物--建筑与工程Ⅲ--建筑与工程,工业_资本品_建筑与工程Ⅲ_建筑与工程,地产基建(HS),E03822
3823.HK,德普科技,德普科技,工业--资本货物--电气设备--电气部件与设备,工业_资本品_电气设备_电气部件与设备,工业工程(HS),E03823
3828.HK,明辉国际,明辉国际,日常消费--家庭与个人用品--个人用品Ⅲ--个人用品,日常消费品_家庭与个人用品_个人用品Ⅲ_个人用品,纺织业(HS),E03828
3830.HK,童园国际,童园国际,可选消费--耐用消费品与服装--休闲设备与用品--休闲用品,非日常生活消费品_耐用消费品与服装_休闲设备与用品_消闲用品,家用电器(HS),E03830
3833.HK,新疆新鑫矿业,新疆新鑫矿业,材料--材料Ⅱ--金属、非金属与采矿--金属非金属,原材料_原材料Ⅱ_金属与采矿_多种金属与采矿,原材料业(HS),E03833
3836.HK,和谐汽车,和谐汽车,可选消费--零售业--专营零售--汽车零售,非日常生活消费品_零售业_专营零售_汽车零售,汽车业(HS),E03836
3838.HK,中国淀粉,中国淀粉,日常消费--食品、饮料与烟草--食品--食品加工与肉类,日常消费品_食品、饮料与烟草_食品_包装食品与肉类,农业产品(HS),E03838
3839.HK,正大企业国际,正大企业国际,材料--材料Ⅱ--化工--多元化工,原材料_原材料Ⅱ_化学制品_多种化学制品,医疗保健(HS),E03839
3848.HK,富道集团,富道集团,金融--多元金融--多元金融服务--其他多元金融服务,金融_综合金融_综合金融服务_其它综合性金融服务,非银金融(HS),E03848
3866.HK,青岛银行,青岛银行,金融--银行--商业银行--区域性银行,金融_银行_商业银行_区域性银行,银行业(HS),E03866
3869.HK,弘和仁爱医疗,弘和仁爱医疗,医疗保健--医疗保健设备与服务--医疗保健提供商与服务--保健护理设施,医疗保健_医疗保健设备与服务_医疗保健提供商与服务_保健护理机构,医疗保健(HS),E03869
3878.HK,VICON HOLDINGS,VICON HOLDINGS,工业--资本货物--建筑与工程Ⅲ--建筑与工程,工业_资本品_建筑与工程Ⅲ_建筑与工程,地产基建(HS),E03878
3882.HK,天彩控股,天彩控股,可选消费--耐用消费品与服装--休闲设备与用品--休闲用品,非日常生活消费品_耐用消费品与服装_休闲设备与用品_消闲用品,家用电器(HS),E03882
3883.HK,中国奥园,中国奥园,房地产--房地产Ⅱ--房地产管理和开发--房地产开发,房地产_房地产Ⅱ_房地产管理和开发_房地产开发,地产基建(HS),E03883
3886.HK,康健国际医疗,康健国际医疗,医疗保健--医疗保健设备与服务--医疗保健提供商与服务--保健护理服务,医疗保健_医疗保健设备与服务_医疗保健提供商与服务_保健护理服务,医疗保健(HS),E03886
3888.HK,金山软件,金山软件,信息技术--软件与服务--软件--应用软件,信息技术_软件与服务_软件_应用软件,资讯科技业(HS),E03888
3889.HK,大成糖业,大成糖业,日常消费--食品、饮料与烟草--食品--食品加工与肉类,日常消费品_食品、饮料与烟草_食品_包装食品与肉类,农业产品(HS),E03889
3893.HK,易纬集团,易纬集团,工业--商业和专业服务--专业服务--调查和咨询服务,工业_商业和专业服务_专业服务_调查和咨询服务,支援服务(HS),E03893
3898.HK,中车时代电气,中车时代电气,工业--资本货物--电气设备--电气部件与设备,工业_资本品_电气设备_电气部件与设备,工业工程(HS),E03898
3899.HK,中集安瑞科,中集安瑞科,工业--资本货物--机械--工业机械,工业_资本品_机械制造_工业机械,能源业(HS),E03899
3900.HK,绿城中国,绿城中国,房地产--房地产Ⅱ--房地产管理和开发--房地产开发,房地产_房地产Ⅱ_房地产管理和开发_房地产开发,地产基建(HS),E03900
3903.HK,瀚华金控,瀚华金控,金融--多元金融--多元金融服务--特殊金融服务,金融_综合金融_综合金融服务_特殊金融服务,非银金融(HS),E03903
3908.HK,中金公司,中金公司,金融--多元金融--资本市场--投资银行业与经纪业,金融_综合金融_资本市场_投资银行业与经纪业,非银金融(HS),E03908
3918.HK,金界控股,金界控股,可选消费--消费者服务Ⅱ--酒店、餐馆与休闲Ⅲ--赌场与赌博,非日常生活消费品_消费者服务_酒店、餐馆与休闲_赌场与赌博,休闲服务(HS),E03918
3919.HK,金力集团,金力集团,信息技术--技术硬件与设备--电子设备、仪器和元件--电子元件,信息技术_技术硬件与设备_电子设备、仪器和元件_电子元件,工业工程(HS),E03919
3933.HK,联邦制药,联邦制药,医疗保健--制药、生物科技与生命科学--制药--西药,医疗保健_制药、生物科技与生命科学_制药Ⅲ_制药,医疗保健(HS),E03933
3939.HK,万国国际矿业,万国国际矿业,材料--材料Ⅱ--金属、非金属与采矿--金属非金属,原材料_原材料Ⅱ_金属与采矿_多种金属与采矿,原材料业(HS),E03939
3948.HK,伊泰煤炭,伊泰煤炭,能源--能源Ⅱ--石油、天然气与供消费用燃料--煤炭与消费用燃料,能源_能源Ⅱ_石油、天然气与消费用燃料_煤与消费用燃料,能源业(HS),E03948
3958.HK,东方证券,东方证券,金融--多元金融--资本市场--投资银行业与经纪业,金融_综合金融_资本市场_投资银行业与经纪业,非银金融(HS),E03958
3963.HK,融众金融,融众金融,金融--多元金融--消费信贷Ⅲ--消费信贷,金融_综合金融_消费信贷Ⅲ_消费信贷,非银金融(HS),E03963
